symboling,normalized-losses,make,fuel-type,body-style,drive-wheels,engine-location,wheel-base,length,width,height,engine-type,engine-size,horsepower,peak-rpm,city-mpg,highway-mpg,price
3,?,alfa-romero,gas,convertible,rwd,front,88.6,168.8,64.1,48.8,dohc,130,111,5000,21,27,13495
3,?,alfa-romero,gas,convertible,rwd,front,88.6,168.8,64.1,48.8,dohc,130,111,5000,21,27,16500
1,?,alfa-romero,gas,hatchback,rwd,front,94.5,171.2,65.5,52.4,ohcv,152,154,5000,19,26,16500
2,164,audi,gas,sedan,fwd,front,99.8,176.6,66.2,54.3,ohc,109,102,5500,24,30,13950
2,164,audi,gas,sedan,4wd,front,99.4,176.6,66.4,54.3,ohc,136,115,5500,18,22,17450
2,?,audi,gas,sedan,fwd,front,99.8,177.3,66.3,53.1,ohc,136,110,5500,19,25,15250
1,158,audi,gas,sedan,fwd,front,105.8,192.7,71.4,55.7,ohc,136,110,5500,19,25,17710
1,?,audi,gas,wagon,fwd,front,105.8,192.7,71.4,55.7,ohc,136,110,5500,19,25,18920
1,158,audi,gas,sedan,fwd,front,105.8,192.7,71.4,55.9,ohc,131,140,5500,17,20,23875
2,192,bmw,gas,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,108,101,5800,23,29,16430
0,192,bmw,gas,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,108,101,5800,23,29,16925
0,188,bmw,gas,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,164,121,4250,21,28,20970
0,188,bmw,gas,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,164,121,4250,21,28,21105
1,?,bmw,gas,sedan,rwd,front,103.5,189,66.9,55.7,ohc,164,121,4250,20,25,24565
0,?,bmw,gas,sedan,rwd,front,103.5,189,66.9,55.7,ohc,209,182,5400,16,22,30760
0,?,bmw,gas,sedan,rwd,front,103.5,193.8,67.9,53.7,ohc,209,182,5400,16,22,41315
0,?,bmw,gas,sedan,rwd,front,110,197,70.9,56.3,ohc,209,182,5400,15,20,36880
2,121,chevrolet,gas,hatchback,fwd,front,88.4,141.1,60.3,53.2,l,61,48,5100,47,53,5151
1,98,chevrolet,gas,hatchback,fwd,front,94.5,155.9,63.6,52,ohc,90,70,5400,38,43,6295
0,81,chevrolet,gas,sedan,fwd,front,94.5,158.8,63.6,52,ohc,90,70,5400,38,43,6575
1,118,dodge,gas,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,90,68,5500,37,41,5572
1,118,dodge,gas,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,90,68,5500,31,38,6377
1,118,dodge,gas,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,98,102,5500,24,30,7957
1,148,dodge,gas,hatchback,fwd,front,93.7,157.3,63.8,50.6,ohc,90,68,5500,31,38,6229
1,148,dodge,gas,sedan,fwd,front,93.7,157.3,63.8,50.6,ohc,90,68,5500,31,38,6692
1,148,dodge,gas,sedan,fwd,front,93.7,157.3,63.8,50.6,ohc,90,68,5500,31,38,7609
1,148,dodge,gas,sedan,fwd,front,93.7,157.3,63.8,50.6,ohc,98,102,5500,24,30,8558
-1,110,dodge,gas,wagon,fwd,front,103.3,174.6,64.6,59.8,ohc,122,88,5000,24,30,8921
3,145,dodge,gas,hatchback,fwd,front,95.9,173.2,66.3,50.2,ohc,156,145,5000,19,24,12964
2,137,honda,gas,hatchback,fwd,front,86.6,144.6,63.9,50.8,ohc,92,58,4800,49,54,6479
2,137,honda,gas,hatchback,fwd,front,86.6,144.6,63.9,50.8,ohc,92,76,6000,31,38,6855
1,101,honda,gas,hatchback,fwd,front,93.7,150,64,52.6,ohc,79,60,5500,38,42,5399
1,101,honda,gas,hatchback,fwd,front,93.7,150,64,52.6,ohc,92,76,6000,30,34,6529
1,101,honda,gas,hatchback,fwd,front,93.7,150,64,52.6,ohc,92,76,6000,30,34,7129
0,110,honda,gas,sedan,fwd,front,96.5,163.4,64,54.5,ohc,92,76,6000,30,34,7295
0,78,honda,gas,wagon,fwd,front,96.5,157.1,63.9,58.3,ohc,92,76,6000,30,34,7295
0,106,honda,gas,hatchback,fwd,front,96.5,167.5,65.2,53.3,ohc,110,86,5800,27,33,7895
0,106,honda,gas,hatchback,fwd,front,96.5,167.5,65.2,53.3,ohc,110,86,5800,27,33,9095
